t-SNE Coordinate 1,t-SNE Coordinate 2,sigma
-9.4265098357,-4.4876596556,3244.3125
24.5930033374,4.3315965259,1491.2265625
-13.002687285,7.5512667183,1361.390625
-8.449376852,15.5724463203,1211.9609375
19.7048158144,3.1469277113,2707.9375
-18.5389736943,10.1545685571,1459.7890625
-23.242148421,-4.1001965986,453.578125
4.0009418652,4.2296760763,2326
18.7404240508,-2.1032799806,2458.21875
-9.2321610767,13.9543869626,1525.5625
4.7680833556,0.0766108741,2484.375
27.2293872827,5.8659057138,1527.734375
-25.754000541,37.3916252856,26.5490722656
1.992679989,15.037251438,2587.09375
-26.2675553106,5.7147912049,307.87109375
13.3947787435,4.0953312157,1723.96875
-14.2689771925,2.3588187618,1587.984375
11.3623578486,-1.5175748432,2539.890625
-18.7073854681,-0.8908984861,2294.875
-8.9021465273,-25.1744725077,337.4765625
-17.2543025039,4.9082133465,3016.6875
-9.6835726867,-25.1392619606,303.2265625
-20.0485417716,11.9452690159,1549.390625
18.9696229222,20.9779300926,1543.796875
-10.5344905655,-2.7925116579,3128.09375
19.7309628885,13.5484688336,1976.546875
4.8487091439,-30.3019568001,41.4929199219
16.3930784577,-19.1194522013,1511.1953125
13.2982900998,2.0302705343,1327.6640625
-15.3476407299,2.8218719224,1981.21875
-13.573925917,-4.2314496282,2180.40625
-15.4866475241,5.5061372482,2026.03125
10.738061337,20.2412275944,1829.875
5.8211249115,-30.436063308,32.8802490234
-2.5629476223,5.7806898783,2668.625
16.5009890079,13.0500385432,2493.953125
5.2054380462,-24.21629424,98.720703125
3.6426449722,16.91089547,2404.125
14.5931557531,7.7924890792,2579.65625
3.6988621909,1.1108264118,2955.84375
-20.4356942427,3.3465714159,2582.890625
10.6527959794,15.2963876567,2383.875
-2.2647509598,-0.9208534287,796.71484375
3.6658040534,-9.8919094969,2153.03125
-9.6675095159,-25.6837607526,245.0126953125
6.9224154907,10.5416192443,2880.5
-10.8882288404,-16.1053161502,140.7529296875
19.0123832918,7.6592937198,2595.21875
-8.7063176252,-13.7871390068,1876.953125
27.5257379361,3.3944373394,979.484375
17.0751873765,-2.836877586,1820.015625
30.037954397,7.5159142858,1153.1328125
21.2106915755,-9.2999101395,2578.59375
-14.0475977787,14.3745530979,1849.21875
3.2482850672,8.9451921894,1765.265625
15.336905316,-4.1300094591,2473.84375
-24.4034619785,34.8173354405,28.7788085938
-12.9370798904,14.0907444197,2306.40625
13.610182271,14.2753618806,686.119140625
5.5943274622,2.6794564454,3313.625
1.4657383358,18.1240798652,1188.4375
28.2425362374,5.2368839612,1495.390625
4.0005196234,10.9477713264,2801.21875
-5.5950707232,-11.6618757746,3294.9375
-0.9049118492,19.1862418913,2411.0625
1.7461186569,11.9608366962,2511.0625
30.4133212754,-1.2231437439,1941.34375
-22.074321699,7.6936192938,1143.578125
18.586747041,15.0744838485,1820.3671875
-8.604146932,-23.5981230381,582.638671875
-2.9712467257,3.8087535953,2131.84375
21.85393705,11.9759730841,2125
-20.8586298353,-1.389021012,1846.875
19.4380601968,14.524481854,2354.234375
-3.7486450536,6.352405339,1863.4375
-14.889491592,-3.7141705718,2269.9375
17.5211087598,10.4454833341,1893.609375
23.0332746311,-6.3335400619,1602.234375
-17.0494361577,-4.6517345953,2011.609375
-3.8179040948,-0.1758569432,129.6274414063
19.551752349,4.9390656898,3000.875
-0.7398189942,6.181516829,2905.84375
-19.6937022679,-3.8506340669,1724.609375
-7.0759408261,16.6798794348,1020.9921875
-14.0989579666,5.367594011,2525.484375
